AAPL	S&P
-0.022701598	-0.014258454
0.004036115	0.002200471
-0.00795783	0.001374732
0.032599488	0.008452894
-0.009297493	-0.007877809
-0.010418708	-0.001457271
0.066100849	0.015429592
0.0071756	0.008560631
0.000480585	0.000898232
0.028008867	0.006753349
0.016964921	0.004697431
0.000344304	-0.002226973
-0.019120939	-0.009401172
0.0011742	0.000676034
-0.00576745	0.000708791
0.008580406	0.012807878
-0.004163541	0.003019414
0.003636687	-0.002655146
-0.002227511	0.010819962
0.002988337	0.001497653
0.006414786	0.001775555
-0.00565461	-0.003532645
0.011103956	0.006390624
0.007257965	0.001231038
0.000573691	-0.000790696
0.003092907	-0.00054419
-0.009884507	-0.002829546
0.010456193	0.006871674
0.005016776	-0.003888149
-0.00182146	-0.001132118
-0.005770466	-0.006545491
-0.011642201	-0.008158904
0.002374028	-0.002134014
0.03405575	0.014559543
0.011172737	0.002948976
0.004412238	0.006925582
0.011055164	-0.00086842
0.012924411	0.004972519
0.010156941	0.003699111
-0.007956362	-0.000130615
0.00870062	-0.002948666
0.0361683	0.01079405
-0.020925871	-0.019156854
-0.012164875	-0.000839425
-0.01038526	0.007157105
0.008953857	-0.004655199
0.001325506	0.003583117
0.006496543	0.00671172
0.006768374	0.011502182
0.014431812	1.74385E-05
0.006831919	0.002146103
0.00173861	0.002082469
0.006672035	0.004625684
0.015613721	0.001046902
-0.003003166	-0.006085953
0.005598284	0.003471834
-0.008358952	3.80851E-05
-0.00040232	0.006587632
0.001808594	-0.000629624
0.000100475	0.000509235
0.019285873	-0.002276364
0.003587386	0.00157782
0.003281077	0.001011526
0.014320462	0.008802364
-0.001543547	-0.002194192
-0.009116656	-0.000369015
-0.00478541	0.004674363
0.001516261	0.001070899
-0.019444017	0.000950948
0.047918874	-0.007530413
-0.006528973	-0.002126258
0.012354677	0.009592171
-0.015563161	-0.00448104
-0.027327087	-0.016649515
0.000197043	-0.001606671
-0.01080221	-0.003026016
-0.01395017	0.003713418
-0.059876966	-0.024426545
0.015706274	0.00798406
0.011907962	0.005821977
-0.004409403	0.00885592
-0.00569802	-0.005854424
-0.031769115	-0.006772241
0.018989426	0.008459905
-0.020684003	-0.002828362
-0.017217125	-0.011985682
-0.003847998	0.00135262
-0.004143366	-0.008410891
-0.004780512	-0.006935956
0.005173231	0.002096241
-0.01828149	-0.013283188
-0.010161805	-0.002769032
0.035930597	0.021205902
0.016014409	0.008128769
0.014574963	0.00611681
0.026269029	0.010442945
0.012698456	0.004649257
0.011513027	-0.000349938
-0.003187742	-0.002039698
-0.000205951	0.004089078
-0.007288715	-0.001612842
0.005948644	0.000931336
0.023246318	0.009670463
-0.00292704	0.00298073
0.008003473	0.009427615
-0.003415068	-0.001260026
-0.001006583	-0.001733435
-0.015273591	-0.009541702
0.021398372	-0.001234746
-0.000300307	0.003815923
-0.009153631	0.005740912
0.01817448	0.007642996
0.005837645	0.00292387
0.008252796	0.007643076
-0.000880977	-0.001807482
-0.020829475	-0.004847186
0.006080841	0.001235816
0.009840085	0.004500485
-0.007308914	0.002282672
0.007653312	0.004609499
0.009351335	0.000175844
-0.003466057	-0.003409581
-0.005639201	-0.006552626
0.011295619	0.003575536
-0.015040053	-0.00619589
0.022596642	0.002824728
0.007787376	0.006824165
-0.000814322	0.004677164
-0.007938561	-0.005276251
0.003471896	0.007360474
0.009295147	-0.001617377
-0.004301408	-0.002581972
0.020198753	-0.01094519
-0.021876679	-0.009039587
-0.021385035	-0.007309385
-0.053767769	-0.030230162
0.018753318	0.012933014
0.010302135	0.000766596
0.021816189	0.018588426
-0.008274571	-0.00663853
-0.002540686	-0.012258545
0.041476236	0.014883025
-0.030217031	-0.029730363
-0.004993987	0.002461237
0.023320703	0.014323116
0.018472512	0.012033185
4.74907E-05	-0.007946252
0.010780258	0.008213006
-0.000846864	-0.00050621
-0.047322793	-0.026288936
0.018821037	0.010923191
-0.011348048	-0.003208332
0.00668803	0.006524141
0.01679005	0.012607435
-0.001292597	0.000642621
-0.01467077	-0.006923029
0.016824203	0.010783722
0.019362969	0.012925923
-9.38163E-05	0.000910204
0.004258005	-9.40048E-05
0.01174375	0.000322266
0.03130012	0.007203659
-0.002238751	0.002874971
-0.019645791	-0.000724618
0.005243499	-0.003140536
0.003631414	0.002578429
0.009335443	0.000342624
-0.008158043	1.9955E-05
-0.014725968	-0.004907609
0.004536603	-9.69276E-05
-0.004766338	-0.008452012
0.015272444	0.006139679
-0.005171042	-0.002431871
-0.00487785	-0.005330508
0.023262556	0.005034927
0.002764344	-0.01233413
-0.025387417	-0.018065441
0.008458847	0.007940382
0.027646155	0.014116742
0.000220276	-0.004488362
-0.011784199	-0.015683167
0.01165204	0.00906335
0.013388432	0.006395209
0.026250669	0.010879533
-0.001440544	-0.001388042
-0.002334381	0.009906435
-0.004045254	-0.002001548
0.003875154	0.002759019
0.004791443	-0.003927046
0.017193942	0.006848107
-0.002289293	-0.003575056
