"days","last14cases"
"625",625,20355
"626",626,19456
"627",627,18142
"628",628,17243
"629",629,16540
"630",630,15255
"631",631,14181
"632",632,13462
"633",633,12402
"634",634,12292
"635",635,11906
"636",636,11643
"637",637,10941
"638",638,10379
"639",639,9976
